domain,utterance,state,affect,probability
electric kettle,50,50,0,0.4904479540164931
electric kettle,50,50,1,0.18737740890571733
electric kettle,50,51,0,0.23382513527468088
electric kettle,50,51,1,0.07138651628760592
electric kettle,50,500,0,0.0038517548668070296
electric kettle,50,500,1,0.0018308047615296231
electric kettle,50,501,0,0.0038878876516738885
electric kettle,50,501,1,0.0018479792902494137
electric kettle,50,1000,0,0.0008266799003850944
electric kettle,50,1000,1,0.0008639564269448573
electric kettle,50,1001,0,0.0007821948833240123
electric kettle,50,1001,1,0.0008174654981406491
electric kettle,50,5000,0,0.00018522221411749188
electric kettle,50,5000,1,0.00046262282048119827
electric kettle,50,5001,0,0.00018356844434858576
electric kettle,50,5001,1,0.0004584922595840448
electric kettle,50,10000,0,0.00003921796880548921
electric kettle,50,10000,1,0.0003550755746776969
electric kettle,50,10001,0,0.000056700677791068655
electric kettle,50,10001,1,0.0005133622766424527
electric kettle,51,50,0,0.20221020820962934
electric kettle,51,50,1,0.06173451928048541
electric kettle,51,51,0,0.5135349380400203
electric kettle,51,51,1,0.20903698871067797
electric kettle,51,500,0,0.003061639273424381
electric kettle,51,500,1,0.0014552493483361328
electric kettle,51,501,0,0.0030903600921244234
electric kettle,51,501,1,0.00146890084316105
electric kettle,51,1000,0,0.0006571019540679315
electric kettle,51,1000,1,0.0006867318972078036
electric kettle,51,1001,0,0.000621742207660688
electric kettle,51,1001,1,0.0006497777143984145
electric kettle,51,5000,0,0.00014722733524390316
electric kettle,51,5000,1,0.0003677243866616379
electric kettle,51,5001,0,0.00014591280546493975
electric kettle,51,5001,1,0.00036444113320930195
electric kettle,51,10000,0,0.000031173134758275286
electric kettle,51,10000,1,0.0002822384502802354
electric kettle,51,10001,0,0.00004506959242160277
electric kettle,51,10001,1,0.0004080555907666041
electric kettle,500,50,0,0.14581494154311506
electric kettle,500,50,1,0.06930832789486376
electric kettle,500,51,0,0.13402491059789293
electric kettle,500,51,1,0.06370432516376896
electric kettle,500,500,0,0.07803352741546707
electric kettle,500,500,1,0.2976141338178334
electric kettle,500,501,0,0.0346120947924223
electric kettle,500,501,1,0.1322832423548128
electric kettle,500,1000,0,0.0012085800123803852
electric kettle,500,1000,1,0.010347883869878196
electric kettle,500,1001,0,0.0011435443166469105
electric kettle,500,1001,1,0.009791047069705369
electric kettle,500,5000,0,0.0002707890511514329
electric kettle,500,5000,1,0.0055409822446988895
electric kettle,500,5001,0,0.00026837129176615225
electric kettle,500,5001,1,0.00549150918894265
electric kettle,500,10000,0,0.00005733543685094092
electric kettle,500,10000,1,0.004252854307465652
electric kettle,500,10001,0,0.00008289460749533615
electric kettle,500,10001,1,0.006148705022841898
electric kettle,501,50,0,0.12222323763514319
electric kettle,501,50,1,0.05809478878324411
electric kettle,501,51,0,0.11234074041850854
electric kettle,501,51,1,0.053397469357250545
electric kettle,501,500,0,0.028742502216356203
electric kettle,501,500,1,0.10985036905083266
electric kettle,501,501,0,0.09933070390984645
electric kettle,501,501,1,0.37863234683549934
electric kettle,501,1000,0,0.001013041328213781
electric kettle,501,1000,1,0.008673678128348888
electric kettle,501,1001,0,0.0009585278935116934
electric kettle,501,1001,1,0.00820693311695791
electric kettle,501,5000,0,0.00022697752505761127
electric kettle,501,5000,1,0.004644495155701821
electric kettle,501,5001,0,0.00022495094001245404
electric kettle,501,5001,1,0.0046030264489544835
electric kettle,501,10000,0,0.000048059016785157305
electric kettle,501,10000,1,0.0035647761275227176
electric kettle,501,10001,0,0.0000694829158339624
electric kettle,501,10001,1,0.00515389319641838
electric kettle,1000,50,0,0.12514551498075285
electric kettle,1000,50,1,0.130788557845158
electric kettle,1000,51,0,0.11502673374568606
electric kettle,1000,51,1,0.12021350203841516
electric kettle,1000,500,0,0.004832923611458169
electric kettle,1000,500,1,0.04137957915162123
electric kettle,1000,501,0,0.0048782606059371405
electric kettle,1000,501,1,0.0417677553162706
electric kettle,1000,1000,0,0.02703549214569384
electric kettle,1000,1000,1,0.2371860462637997
electric kettle,1000,1001,0,0.01071863762461389
electric kettle,1000,1001,1,0.09999669923777264
electric kettle,1000,5000,0,0.00023240440862142624
electric kettle,1000,5000,1,0.010456132745391193
electric kettle,1000,5001,0,0.00023032936925873495
electric kettle,1000,5001,1,0.010362774417307343
electric kettle,1000,10000,0,0.00004920807631525078
electric kettle,1000,10000,1,0.008025365760414217
electric kettle,1000,10001,0,0.0000711442067208444
electric kettle,1000,10001,1,0.011602938448791624
electric kettle,1001,50,0,0.11199329065581519
electric kettle,1001,50,1,0.11704327538594103
electric kettle,1001,51,0,0.10293794729719996
electric kettle,1001,51,1,0.10757960983749397
electric kettle,1001,500,0,0.0043250053253497045
electric kettle,1001,500,1,0.03703077362265487
electric kettle,1001,501,0,0.004365577607951486
electric kettle,1001,501,1,0.037378154238252026
electric kettle,1001,1000,0,0.010137683119457104
electric kettle,1001,1000,1,0.09457683759513351
electric kettle,1001,1001,0,0.034862343970290505
electric kettle,1001,1001,1,0.301051301520878
electric kettle,1001,5000,0,0.00020797976250635326
electric kettle,1001,5000,1,0.009357240759850498
electric kettle,1001,5001,0,0.00020612280034111802
electric kettle,1001,5001,1,0.009273693967351834
electric kettle,1001,10000,0,0.000044036531347008306
electric kettle,1001,10000,1,0.007181936327191013
electric kettle,1001,10001,0,0.00006366727423663843
