domain,utterance,state,affect,probability
electric kettle,50,50,0,0.4931073623472425
electric kettle,50,50,1,0.1891746184976419
electric kettle,50,51,0,0.23059064947502686
electric kettle,50,51,1,0.07039903188842964
electric kettle,50,500,0,0.0037984738266579436
electric kettle,50,500,1,0.0018054793746923603
electric kettle,50,501,0,0.0038341067893845676
electric kettle,50,501,1,0.0018224163294268108
electric kettle,50,1000,0,0.000815244498474543
electric kettle,50,1000,1,0.0008520053815998381
electric kettle,50,1001,0,0.0007713748393638046
electric kettle,50,1001,1,0.0008061575583747341
electric kettle,50,5000,0,0.00018266004893093175
electric kettle,50,5000,1,0.00045622339322679066
electric kettle,50,5001,0,0.00018102915563690558
electric kettle,50,5001,1,0.00045214997007298017
electric kettle,50,10000,0,0.000038675469544049175
electric kettle,50,10000,1,0.00035016384051896396
electric kettle,50,10001,0,0.000055916341509468604
electric kettle,50,10001,1,0.0005062609742442846
electric kettle,51,50,0,0.20913277339289693
electric kettle,51,50,1,0.06384796962288261
electric kettle,51,51,0,0.5077436568850376
electric kettle,51,51,1,0.20533065875225054
electric kettle,51,500,0,0.0031664529602584346
electric kettle,51,500,1,0.001505069080786637
electric kettle,51,501,0,0.0031961570217993217
electric kettle,51,501,1,0.0015191879276983324
electric kettle,51,1000,0,0.0006795975102980695
electric kettle,51,1000,1,0.0007102418196985689
electric kettle,51,1001,0,0.0006430272406856168
electric kettle,51,1001,1,0.000672022528952457
electric kettle,51,5000,0,0.0001522675893142026
electric kettle,51,5000,1,0.00038031324683185917
electric kettle,51,5001,0,0.00015090805726675435
electric kettle,51,5001,1,0.0003769175928422891
electric kettle,51,10000,0,0.00003224033141091522
electric kettle,51,10000,1,0.0002919007422415977
electric kettle,51,10001,0,0.000046612527341082186
electric kettle,51,10001,1,0.0004220251695059238
electric kettle,500,50,0,0.14458143377353858
electric kettle,500,50,1,0.06872202062038332
electric kettle,500,51,0,0.13289113948507175
electric kettle,500,51,1,0.06316542442277802
electric kettle,500,500,0,0.07913296655401424
electric kettle,500,500,1,0.30179634450660686
electric kettle,500,501,0,0.034319297035238096
electric kettle,500,501,1,0.1311642047205167
electric kettle,500,1000,0,0.0011983561435528875
electric kettle,500,1000,1,0.010260346920529313
electric kettle,500,1001,0,0.0011338706111643905
electric kettle,500,1001,1,0.009708220628841628
electric kettle,500,5000,0,0.00026849833666787786
electric kettle,500,5000,1,0.005494108827080706
electric kettle,500,5001,0,0.0002661010300904861
electric kettle,500,5001,1,0.005445054283981772
electric kettle,500,10000,0,0.000056850413121004534
electric kettle,500,10000,1,0.0042168776868558595
