domain,utterance,state,affect,probability
electric kettle,50,50,0,0.49465185811878093
electric kettle,50,50,1,0.19021837796218177
electric kettle,50,51,0,0.22871216786582663
electric kettle,50,51,1,0.0698255338432618
electric kettle,50,500,0,0.0037675299733722603
electric kettle,50,500,1,0.001790771233625621
electric kettle,50,501,0,0.0038028726560492996
electric kettle,50,501,1,0.0018075702133031604
electric kettle,50,1000,0,0.0008086031979670317
electric kettle,50,1000,1,0.0008450646125620705
electric kettle,50,1001,0,0.0007650909182558008
electric kettle,50,1001,1,0.0007995902836349628
electric kettle,50,5000,0,0.00018117202873829392
electric kettle,50,5000,1,0.00045250681904733287
electric kettle,50,5001,0,0.0001795544213388449
electric kettle,50,5001,1,0.00044846657959155315
electric kettle,50,10000,0,0.00003836040404407739
electric kettle,50,10000,1,0.00034731126893325847
electric kettle,50,10001,0,0.000055460825123967234
electric kettle,50,10001,1,0.0005021367743613378
electric kettle,51,50,0,0.2127748943534714
electric kettle,51,50,1,0.06495990451802575
electric kettle,51,51,0,0.5046967305037416
electric kettle,51,51,1,0.20338067320917172
electric kettle,51,500,0,0.003221597854624482
electric kettle,51,500,1,0.0015312803893123808
electric kettle,51,501,0,0.003251819222866739
electric kettle,51,501,1,0.0015456451209194392
electric kettle,51,1000,0,0.0006914329404740982
electric kettle,51,1000,1,0.0007226109313238471
electric kettle,51,1001,0,0.0006542257867266125
electric kettle,51,1001,1,0.0006837260381584377
electric kettle,51,5000,0,0.00015491938305107195
electric kettle,51,5000,1,0.0003869365360724613
electric kettle,51,5001,0,0.00015353617427383027
electric kettle,51,5001,1,0.0003834817455718144
electric kettle,51,10000,0,0.00003280180814601766
electric kettle,51,10000,1,0.00029698429655246637
electric kettle,51,10001,0,0.00004742430093400138
electric kettle,51,10001,1,0.00042937488658187855
electric kettle,500,50,0,0.14385886346996576
electric kettle,500,50,1,0.06837857063509971
electric kettle,500,51,0,0.13222699341531932
electric kettle,500,51,1,0.0628497444719763
electric kettle,500,500,0,0.07977700146947538
electric kettle,500,500,1,0.3042462206415825
electric kettle,500,501,0,0.03414778051178184
electric kettle,500,501,1,0.13050868930094192
electric kettle,500,1000,0,0.0011923671549266465
electric kettle,500,1000,1,0.010209069091864672
electric kettle,500,1001,0,0.0011282038999530144
electric kettle,500,1001,1,0.009659702145217237
electric kettle,500,5000,0,0.00026715647056812136
electric kettle,500,5000,1,0.005466651083859933
electric kettle,500,5001,0,0.0002647711449380489
electric kettle,500,5001,1,0.005417841699182613
electric kettle,500,10000,0,0.000056566293513147936
electric kettle,500,10000,1,0.004195803123471098
electric kettle,500,10001,0,0.00008178259303105713
electric kettle,500,10001,1,0.006066221383331698
electric kettle,501,50,0,0.1266526302718564
electric kettle,501,50,1,0.06020015462567141
electric kettle,501,51,0,0.11641198953643878
electric kettle,501,51,1,0.055332603478768144
electric kettle,501,500,0,0.02978413578899879
electric kettle,501,500,1,0.1138313666518491
electric kettle,501,501,0,0.09539250861039451
electric kettle,501,501,1,0.3636518269719365
electric kettle,501,1000,0,0.0010497541324783124
electric kettle,501,1000,1,0.008988013820794009
electric kettle,501,1001,0,0.0009932651208651288
electric kettle,501,1001,1,0.008504353884249033
electric kettle,501,5000,0,0.00023520323235879387
electric kettle,501,5000,1,0.004812812515329673
electric kettle,501,5001,0,0.00023310320349844752
electric kettle,501,5001,1,0.00476984097501423
electric kettle,501,10000,0,0.00004980068440249953
electric kettle,501,10000,1,0.003693964270762014
electric kettle,501,10001,0,0.00007200098949758958
electric kettle,501,10001,1,0.00534067123483664
electric kettle,1000,50,0,0.12396562728138467
electric kettle,1000,50,1,0.12955546682592847
electric kettle,1000,51,0,0.11394224719204563
electric kettle,1000,51,1,0.11908011397912334
electric kettle,1000,500,0,0.004787358198091002
electric kettle,1000,500,1,0.040989447260330165
electric kettle,1000,501,0,0.004832267749667843
electric kettle,1000,501,1,0.04137396365114004
electric kettle,1000,1000,0,0.027786579173526813
electric kettle,1000,1000,1,0.24337197137279182
electric kettle,1000,1001,0,0.010617580957187888
electric kettle,1000,1001,1,0.09905391774515404
electric kettle,1000,5000,0,0.00023021327054465612
electric kettle,1000,5000,1,0.010357551007075229
electric kettle,1000,5001,0,0.00022815779491479316
electric kettle,1000,5001,1,0.010265072873083486
electric kettle,1000,10000,0,0.000048744136365322415
electric kettle,1000,10000,1,0.00794970159981605
electric kettle,1000,10001,0,0.0000704734501667311
electric kettle,1000,10001,1,0.011493544481661741
electric kettle,1001,50,0,0.11480604655830648
electric kettle,1001,50,1,0.11998286365735367
electric kettle,1001,51,0,0.1055232746606075
electric kettle,1001,51,1,0.11028151439611701
electric kettle,1001,500,0,0.004433629549050484
electric kettle,1001,500,1,0.03796081618566028
electric kettle,1001,501,0,0.004475220820617562
electric kettle,1001,501,1,0.0383169214031618
electric kettle,1001,1000,0,0.010392295050804605
electric kettle,1001,1000,1,0.09695217237301972
electric kettle,1001,1001,0,0.03305811275397861
electric kettle,1001,1001,1,0.28617674061963977
electric kettle,1001,5000,0,0.00021320325671000452
electric kettle,1001,5000,1,0.00959225157187484
electric kettle,1001,5001,0,0.00021129965620366522
electric kettle,1001,5001,1,0.00950660646855453
electric kettle,1001,10000,0,0.00004514252629318955
electric kettle,1001,10000,1,0.007362313505835648
electric kettle,1001,10001,0,0.00006526630307449083
electric kettle,1001,10001,1,0.010644308683135852
electric kettle,5000,50,0,0.07671983848437577
electric kettle,5000,50,1,0.1916203638727161
electric kettle,5000,51,0,0.07051656973653089
electric kettle,5000,51,1,0.17612668403520756
electric kettle,5000,500,0,0.002962799896867439
electric kettle,5000,500,1,0.06062586930059234
electric kettle,5000,501,0,0.002990593516913101
electric kettle,5000,501,1,0.061194592277145764
electric kettle,5000,1000,0,0.0006358886295465936
electric kettle,5000,1000,1,0.028609336463383556
electric kettle,5000,1001,0,0.0006016704073288393
electric kettle,5000,1001,1,0.027069820599883075
electric kettle,5000,5000,0,0.008459939657890728
electric kettle,5000,5000,1,0.181738644176496
electric kettle,5000,5001,0,0.0032814697854717345
electric kettle,5000,5001,1,0.07801440196841662
electric kettle,5000,10000,0,0.000030166767603405554
electric kettle,5000,10000,1,0.011758089029797653
electric kettle,5000,10001,0,0.00004361460376395977
electric kettle,5000,10001,1,0.01699964679006887
electric kettle,5001,50,0,0.07214871930040764
electric kettle,5001,50,1,0.18020324492875553
electric kettle,5001,51,0,0.06631505353057683
electric kettle,5001,51,1,0.16563270907244715
electric kettle,5001,500,0,0.0027862704396321007
electric kettle,5001,500,1,0.05701366052018507
electric kettle,5001,501,0,0.002812408061017018
electric kettle,5001,501,1,0.05754849786089978
electric kettle,5001,1000,0,0.0005980011317258099
electric kettle,5001,1000,1,0.026904735810776497
electric kettle,5001,1001,0,0.0005658216986284564
electric kettle,5001,1001,1,0.025456947336653976
electric kettle,5001,5000,0,0.003113754729722496
electric kettle,5001,5000,1,0.07402710644818815
electric kettle,5001,5001,0,0.010764180212672263
electric kettle,5001,5001,1,0.22699521034474535
electric kettle,5001,10000,0,0.000028369372133936207
electric kettle,5001,10000,1,0.011057518911393917
electric kettle,5001,10001,0,0.00004101595971171494
electric kettle,5001,10001,1,0.015986774329726124
electric kettle,10000,50,0,0.025162821757154577
electric kettle,10000,50,1,0.22782167634045192
electric kettle,10000,51,0,0.023128253529465508
electric kettle,10000,51,1,0.20940089870531434
electric kettle,10000,500,0,0.000971748731225159
electric kettle,10000,500,1,0.07207943297108366
electric kettle,10000,501,0,0.000980864572981493
electric kettle,10000,501,1,0.072755600259743
electric kettle,10000,1000,0,0.00020856081762920842
electric kettle,10000,1000,1,0.03401427103230809
electric kettle,10000,1001,0,0.00019733781398996838
electric kettle,10000,1001,1,0.03218390667182512
electric kettle,10000,5000,0,0.00004672920728015919
electric kettle,10000,5000,1,0.0182136245657938
electric kettle,10000,5001,0,0.00004631198221515778
electric kettle,10000,5001,1,0.018051002917884928
electric kettle,10000,10000,0,0.0020315291024650683
electric kettle,10000,10000,1,0.16060744202932029
electric kettle,10000,10001,0,0.00112776986897779
electric kettle,10000,10001,1,0.10097021712289096
electric kettle,10001,50,0,0.022449825177674725
electric kettle,10001,50,1,0.20325847613150622
electric kettle,10001,51,0,0.020634619336911495
electric kettle,10001,51,1,0.18682378365000513
electric kettle,10001,500,0,0.0008669770561971728
electric kettle,10001,500,1,0.06430799712065903
electric kettle,10001,501,0,0.0008751100492196605
electric kettle,10001,501,1,0.06491126163398607
electric kettle,10001,1000,0,0.00018607427815035677
electric kettle,10001,1000,1,0.03034693189782038
electric kettle,10001,1001,0,0.0001760613125099787
electric kettle,10001,1001,1,0.028713913140986973
electric kettle,10001,5000,0,0.00004169097346296695
electric kettle,10001,5000,1,0.01624987417150908
electric kettle,10001,5001,0,0.00004131873262847618
electric kettle,10001,5001,1,0.016104786009263464
electric kettle,10001,10000,0,0.0006959386488971399
electric kettle,10001,10000,1,0.06230799245155178
electric kettle,10001,10001,0,0.003589052283932879
electric kettle,10001,10001,1,0.2774183159431274
laptop,50,50,0,0.2211649345171367
laptop,50,50,1,0.007741292373531175
laptop,50,51,0,0.10175179750310996
laptop,50,51,1,0.0028921611878946025
laptop,50,500,0,0.1947363903853336
laptop,50,500,1,0.0034884142418250864
laptop,50,501,0,0.18860832215642456
laptop,50,501,1,0.0033786389684809445
laptop,50,1000,0,0.1249641487291624
laptop,50,1000,1,0.006223752227382225
laptop,50,1001,0,0.11199671961487515
laptop,50,1001,1,0.005577918469026598
laptop,50,5000,0,0.009862296040752212
laptop,50,5000,1,0.0024711058312875027
laptop,50,5001,0,0.008825026173360912
laptop,50,5001,1,0.0022112065535394017
laptop,50,10000,0,0.0011112433029665761
laptop,50,10000,1,0.0009170786527567662
laptop,50,10001,0,0.001138215227795863
