domain,utterance,state,affect,probability
electric kettle,50,50,0,0.4776103010021033
electric kettle,50,50,1,0.1787018125828469
electric kettle,50,51,0,0.24943883622305257
electric kettle,50,51,1,0.07615335932076144
electric kettle,50,500,0,0.004108956251705667
electric kettle,50,500,1,0.00195305696511671
electric kettle,50,501,0,0.0041475018075378045
electric kettle,50,501,1,0.001971378325014616
electric kettle,50,1000,0,0.0008818815481013661
electric kettle,50,1000,1,0.0009216472191126633
electric kettle,50,1001,0,0.0008344260387864937
electric kettle,50,1001,1,0.000872051853061757
electric kettle,50,5000,0,0.00019759044928104036
electric kettle,50,5000,1,0.0004935145138074966
electric kettle,50,5001,0,0.0001958262488410311
electric kettle,50,5001,1,0.0004891081342199298
electric kettle,50,10000,0,0.000041836753291648694
electric kettle,50,10000,1,0.0003787857879983309
electric kettle,50,10001,0,0.00006048687222888959
electric kettle,50,10001,1,0.0005476421031301162
electric kettle,51,50,0,0.15005615462018715
electric kettle,51,50,1,0.04581195307880755
electric kettle,51,51,0,0.5571659880499964
electric kettle,51,51,1,0.23696018280918837
electric kettle,51,500,0,0.002271981322169119
electric kettle,51,500,1,0.0010799114602486953
electric kettle,51,501,0,0.0022932944677804623
electric kettle,51,501,1,0.0010900419617519649
electric kettle,51,1000,0,0.0004876222288373521
electric kettle,51,1000,1,0.0005096100175278958
electric kettle,51,1001,0,0.00046138246764431036
electric kettle,51,1001,1,0.00048218705694343464
electric kettle,51,5000,0,0.00010925446334922064
electric kettle,51,5000,1,0.0002728809188767977
electric kettle,51,5001,0,0.00010827897706931692
electric kettle,51,5001,1,0.00027044448210111207
electric kettle,51,10000,0,0.000023132960352003265
electric kettle,51,10000,1,0.00020944351380671895
electric kettle,51,10001,0,0.000033445243882414375
electric kettle,51,10001,1,0.00030280989947959266
electric kettle,500,50,0,0.151586154872944
electric kettle,500,50,1,0.07205148399109092
electric kettle,500,51,0,0.13932948598904368
electric kettle,500,51,1,0.06622568029145456
electric kettle,500,500,0,0.07288958104705645
electric kettle,500,500,1,0.2780468228770274
electric kettle,500,501,0,0.03598200778436539
electric kettle,500,501,1,0.13751888421367794
electric kettle,500,1000,0,0.0012564144318424832
electric kettle,500,1000,1,0.010757443032288903
electric kettle,500,1001,0,0.0011888046866312275
electric kettle,500,1001,1,0.010178567174049132
electric kettle,500,5000,0,0.0002815066179867549
electric kettle,500,5000,1,0.005760288923784977
electric kettle,500,5001,0,0.00027899316604044463
electric kettle,500,5001,1,0.005708857772679755
electric kettle,500,10000,0,0.00005960471758393003
electric kettle,500,10000,1,0.0044211781377214805
electric kettle,500,10001,0,0.00008617549530206738
electric kettle,500,10001,1,0.006392064777428637
electric kettle,501,50,0,0.09818631050022683
electric kettle,501,50,1,0.046669627480695884
electric kettle,501,51,0,0.09024734603647486
electric kettle,501,51,1,0.04289610230984295
electric kettle,501,500,0,0.023089882920571205
electric kettle,501,500,1,0.08824674139615735
electric kettle,501,501,0,0.12070205687399521
electric kettle,501,501,1,0.4599269382020557
electric kettle,501,1000,0,0.0008138124331028238
electric kettle,501,1000,1,0.006967876734139277
electric kettle,501,1001,0,0.0007700198358058101
electric kettle,501,1001,1,0.006592923726024154
electric kettle,501,5000,0,0.00018233918674620067
electric kettle,501,5000,1,0.0037310895399109926
electric kettle,501,5001,0,0.00018071115829310962
electric kettle,501,5001,1,0.003697776240447502
electric kettle,501,10000,0,0.00003860753188758826
electric kettle,501,10000,1,0.0028637125189367573
electric kettle,501,10001,0,0.00005581811839169379
electric kettle,501,10001,1,0.004140307256294101
electric kettle,1000,50,0,0.12857195934767596
electric kettle,1000,50,1,0.13436950692955354
electric kettle,1000,51,0,0.11817612910315521
electric kettle,1000,51,1,0.1235049094608144
electric kettle,1000,500,0,0.004965247521642225
electric kettle,1000,500,1,0.042512538857860174
electric kettle,1000,501,0,0.00501182582859947
electric kettle,1000,501,1,0.042911343162342935
electric kettle,1000,1000,0,0.02485430327749455
electric kettle,1000,1000,1,0.2192218550485989
electric kettle,1000,1001,0,0.011012110511082068
electric kettle,1000,1001,1,0.10273457703440694
electric kettle,1000,5000,0,0.00023876756735621152
electric kettle,1000,5000,1,0.010742418331820356
electric kettle,1000,5001,0,0.00023663571407624536
electric kettle,1000,5001,1,0.010646503882429104
electric kettle,1000,10000,0,0.0000505553777820548
electric kettle,1000,10000,1,0.008245097720496824
electric kettle,1000,10001,0,0.00007309211245598273
electric kettle,1000,10001,1,0.011920623210356836
electric kettle,1001,50,0,0.09559816083088254
electric kettle,1001,50,1,0.09990885881642302
electric kettle,1001,51,0,0.08786846411685163
electric kettle,1001,51,1,0.09183061577300239
electric kettle,1001,500,0,0.003691851112383898
electric kettle,1001,500,1,0.031609695828566556
electric kettle,1001,501,0,0.0037264838620310273
electric kettle,1001,501,1,0.03190622205585143
electric kettle,1001,1000,0,0.008653588582237635
electric kettle,1001,1000,1,0.08073136951643242
electric kettle,1001,1001,0,0.04537893554491969
electric kettle,1001,1001,1,0.387752873046747
electric kettle,1001,5000,0,0.00017753280280651107
electric kettle,1001,5000,1,0.007987398190152466
electric kettle,1001,5001,0,0.00017594768849573867
electric kettle,1001,5001,1,0.007916082134883248
electric kettle,1001,10000,0,0.000037589853655460104
electric kettle,1001,10000,1,0.006130544964465816
electric kettle,1001,10001,0,0.000054346776369339833
electric kettle,1001,10001,1,0.00886343850284213
electric kettle,5000,50,0,0.078683977904401
electric kettle,5000,50,1,0.1965261238143069
electric kettle,5000,51,0,0.07232189645672055
electric kettle,5000,51,1,0.18063578324430354
electric kettle,5000,500,0,0.0030386518822997227
electric kettle,5000,500,1,0.06217797970800464
electric kettle,5000,501,0,0.0030671570594319915
electric kettle,5000,501,1,0.06276126281971203
electric kettle,5000,1000,0,0.0006521683030797
electric kettle,5000,1000,1,0.02934177707638016
electric kettle,5000,1001,0,0.0006170740446180116
electric kettle,5000,1001,1,0.02776284736823412
electric kettle,5000,5000,0,0.0074578972013524866
electric kettle,5000,5000,1,0.16200859288381433
electric kettle,5000,5001,0,0.0033654801834156656
electric kettle,5000,5001,1,0.08001168409599912
electric kettle,5000,10000,0,0.000030939080718176456
electric kettle,5000,10000,1,0.01205911320586256
electric kettle,5000,10001,0,0.000044731201038327345
electric kettle,5000,10001,1,0.01743486246630729
electric kettle,5001,50,0,0.06279813730504888
electric kettle,5001,50,1,0.1568486347031724
electric kettle,5001,51,0,0.057720523349349344
electric kettle,5001,51,1,0.14416646209934875
electric kettle,5001,500,0,0.0024251656208681624
electric kettle,5001,500,1,0.049624604793086065
electric kettle,5001,501,0,0.0024479157674053838
electric kettle,5001,501,1,0.050090126414034354
electric kettle,5001,1000,0,0.0005204992901167112
electric kettle,5001,1000,1,0.02341784178546967
electric kettle,5001,1001,0,0.0004924903597068428
electric kettle,5001,1001,1,0.02215768886427846
electric kettle,5001,5000,0,0.002710207456866864
electric kettle,5001,5000,1,0.06443308266738047
electric kettle,5001,5001,0,0.01553815758368457
electric kettle,5001,5001,1,0.3210087566871967
electric kettle,5001,10000,0,0.00002469265904924923
electric kettle,5001,10000,1,0.009624447912368786
electric kettle,5001,10001,0,0.00003570022995072179
electric kettle,5001,10001,1,0.013914864451617527
electric kettle,10000,50,0,0.025708764356593024
electric kettle,10000,50,1,0.23276458613769577
electric kettle,10000,51,0,0.023630053326571237
electric kettle,10000,51,1,0.2139441439767406
electric kettle,10000,500,0,0.0009928321786002623
electric kettle,10000,500,1,0.07364329704730145
electric kettle,10000,501,0,0.0010021458012888203
electric kettle,10000,501,1,0.07433413473067205
electric kettle,10000,1000,0,0.00021308583616712828
electric kettle,10000,1000,1,0.03475225819943109
electric kettle,10000,1001,0,0.00020161933377248442
electric kettle,10000,1001,1,0.032882181525022224
electric kettle,10000,5000,0,0.00004774306276657634
electric kettle,10000,5000,1,0.01860879461614075
electric kettle,10000,5001,0,0.000047316785420446196
electric kettle,10000,5001,1,0.018442644664210927
electric kettle,10000,10000,0,0.0017805349518772904
electric kettle,10000,10000,1,0.14269071790169818
electric kettle,10000,10001,0,0.0011522384130775
electric kettle,10000,10001,1,0.1031609071549525
electric kettle,10001,50,0,0.019101222022718762
electric kettle,10001,50,1,0.17294055743687162
electric kettle,10001,51,0,0.01755677125274864
electric kettle,10001,51,1,0.15895725433852767
electric kettle,10001,500,0,0.000737659251596033
electric kettle,10001,500,1,0.05471585284591055
electric kettle,10001,501,0,0.0007445791320050029
electric kettle,10001,501,1,0.055229134767542
electric kettle,10001,1000,0,0.00015831954465291896
electric kettle,10001,1000,1,0.025820400796040102
electric kettle,10001,1001,0,0.00014980010727249266
electric kettle,10001,1001,1,0.024430962188181422
electric kettle,10001,5000,0,0.00003547237157335816
electric kettle,10001,5000,1,0.013826052182353237
electric kettle,10001,5001,0,0.0000351556539700246
electric kettle,10001,5001,1,0.013702605287867943
electric kettle,10001,10000,0,0.0005921328358491958
electric kettle,10001,10000,1,0.05301416773572619
electric kettle,10001,10001,0,0.005082279551442202
electric kettle,10001,10001,1,0.3831696206971507
laptop,50,50,0,0.19986484800404522
laptop,50,50,1,0.006832338580723193
laptop,50,51,0,0.10468245243867237
laptop,50,51,1,0.002975461204874508
laptop,50,500,0,0.20034518725792894
laptop,50,500,1,0.003588887537294675
laptop,50,501,0,0.19404061842813386
laptop,50,501,1,0.0034759505168902955
laptop,50,1000,0,0.12856336572805901
laptop,50,1000,1,0.0064030087184760364
laptop,50,1001,0,0.11522244876325809
laptop,50,1001,1,0.005738573658345669
laptop,50,5000,0,0.010146349858739304
laptop,50,5000,1,0.002542278613277315
laptop,50,5001,0,0.009079204548053868
laptop,50,5001,1,0.002274893717390052
laptop,50,10000,0,0.0011432493289077908
laptop,50,10000,1,0.0009434923490840321
laptop,50,10001,0,0.0011709980990269129
laptop,50,10001,1,0.0009663926488190804
laptop,51,50,0,0.08425155719464913
laptop,51,50,1,0.002394739844577182
laptop,51,51,0,0.36282545056174537
laptop,51,51,1,0.01381936546629124
laptop,51,500,0,0.15682613914482496
laptop,51,500,1,0.002809308194532774
laptop,51,501,0,0.15189105085005777
laptop,51,501,1,0.0027209033912083147
laptop,51,1000,0,0.10063678872724037
laptop,51,1000,1,0.00501214503813597
laptop,51,1001,0,0.09019379017620516
laptop,51,1001,1,0.004492038782433631
laptop,51,5000,0,0.007942356372704691
laptop,51,5000,1,0.001990044008581304
laptop,51,5001,0,0.007107016720817553
laptop,51,5001,1,0.001780740548580265
laptop,51,10000,0,0.0008949123299962137
laptop,51,10000,1,0.0007385466276713581
laptop,51,10001,0,0.000916633503054375
laptop,51,10001,1,0.0007564725166925068
laptop,500,50,0,0.007353418402355009
laptop,500,50,1,0.00013172560829599237
laptop,500,51,0,0.007151954884482264
laptop,500,51,1,0.00012811668752075962
laptop,500,500,0,0.373278934752103
laptop,500,500,1,0.21188834854589508
laptop,500,501,0,0.18410300509252486
laptop,500,501,1,0.09743952327362394
laptop,500,1000,0,0.02793315337010824
laptop,500,1000,1,0.02065849866644146
laptop,500,1001,0,0.025034552531795463
laptop,500,1001,1,0.018514782890444965
laptop,500,5000,0,0.0022045124996994737
laptop,500,5000,1,0.008202340751241726
laptop,500,5001,0,0.0019726522534873423
laptop,500,5001,1,0.007339657166386586
laptop,500,10000,0,0.00024839547925498113
laptop,500,10000,1,0.003044058862376381
laptop,500,10001,0,0.0002544244957417527
laptop,500,10001,1,0.0031179437862204674
laptop,501,50,0,0.003982647336677369
laptop,501,50,1,0.00007134323308520374
laptop,501,51,0,0.0038735337110149723
laptop,501,51,1,0.00006938862395958167
laptop,501,500,0,0.10295079752608613
laptop,501,500,1,0.05448839157481261
laptop,501,501,0,0.48409758487111687
laptop,501,501,1,0.2862726087484072
laptop,501,1000,0,0.015128732351042838
laptop,501,1000,1,0.011188743818426867
laptop,501,1001,0,0.013558835973991854
laptop,501,1001,1,0.01002769687961384
laptop,501,5000,0,0.0011939747414329445
laptop,501,5000,1,0.004442427828802876
laptop,501,5001,0,0.0010683980991787283
laptop,501,5001,1,0.003975194184037298
laptop,501,10000,0,0.0001345322052639795
laptop,501,10000,1,0.001648677153614673
laptop,501,10001,0,0.0001377975500519403
laptop,501,10001,1,0.0016886935893820208
laptop,1000,50,0,0.004270102049657843
laptop,1000,50,1,0.00021266945290289853
laptop,1000,51,0,0.004153112952406941
laptop,1000,51,1,0.0002068428925493943
laptop,1000,500,0,0.025277296525861203
laptop,1000,500,1,0.01869430886129581
laptop,1000,501,0,0.02448185712469774
laptop,1000,501,1,0.01810602641461168
laptop,1000,1000,0,0.22176507474836193
laptop,1000,1000,1,0.3804957841724081
laptop,1000,1001,0,0.09641090135998517
laptop,1000,1001,1,0.1681675192496329
laptop,1000,5000,0,0.0012801520093631948
laptop,1000,5000,1,0.013242583144273845
laptop,1000,5001,0,0.0011455116477774164
laptop,1000,5001,1,0.011849790593206644
laptop,1000,10000,0,0.0001442423084143756
laptop,1000,10000,1,0.004914597406231913
laptop,1000,10001,0,0.0001477433353176373
laptop,1000,10001,1,0.005033883751043363
laptop,1001,50,0,0.002380615346032002
laptop,1001,50,1,0.00011856488611400685
laptop,1001,51,0,0.0023153930077845484
laptop,1001,51,1,0.0001153165330697876
laptop,1001,500,0,0.014092290843608364
laptop,1001,500,1,0.010422223647378366
laptop,1001,501,0,0.013648827145732567
laptop,1001,501,1,0.01009425157455877
laptop,1001,1000,0,0.05997320391207893
laptop,1001,1000,1,0.10461000551886387
laptop,1001,1001,0,0.2819752318771063
laptop,1001,1001,1,0.47920341380638865
laptop,1001,5000,0,0.0007136947743410302
laptop,1001,5000,1,0.007382843849572424
laptop,1001,5001,0,0.0006386317179412223
laptop,1001,5001,1,0.006606351090769314
laptop,1001,10000,0,0.00008041621698147905
laptop,1001,10000,1,0.002739926556505185
laptop,1001,10001,0,0.00008236806690821406
laptop,1001,10001,1,0.002806429628265017
laptop,5000,50,0,0.0027839234779254264
laptop,5000,50,1,0.0006975423888852375
laptop,5000,51,0,0.0027076516018178782
laptop,5000,51,1,0.0006784316385048195
laptop,5000,500,0,0.016479713702033508
laptop,5000,500,1,0.061316153700835596
laptop,5000,501,0,0.01596112131280867
laptop,5000,501,1,0.0593866243885715
laptop,5000,1000,0,0.010575185202929748
laptop,5000,1000,1,0.10939542202144824
laptop,5000,1001,0,0.009477806747716467
laptop,5000,1001,1,0.09804354714439703
laptop,5000,5000,0,0.03818671021799612
laptop,5000,5000,1,0.36080358587782463
laptop,5000,5001,0,0.015601752187796978
laptop,5000,5001,1,0.1650840756881893
laptop,5000,10000,0,0.00009403980144622465
laptop,5000,10000,1,0.01611956944619324
laptop,5000,10001,0,0.000096322320898803
laptop,5000,10001,1,0.016510821131780467
laptop,5001,50,0,0.0018457419735856732
laptop,5001,50,1,0.0004624707811581563
laptop,5001,51,0,0.0017951737003367493
laptop,5001,51,1,0.0004498003487976586
laptop,5001,500,0,0.010926054373874205
laptop,5001,500,1,0.040652625491272354
laptop,5001,501,0,0.01058222748798306
laptop,5001,501,1,0.0393733470667218
laptop,5001,1000,0,0.007011350477935955
laptop,5001,1000,1,0.0725291926104135
laptop,5001,1001,0,0.006283788283157117
laptop,5001,1001,1,0.06500289668108718
laptop,5001,5000,0,0.011559767601452919
laptop,5001,5000,1,0.12231533527040296
laptop,5001,5001,0,0.05958806987847125
laptop,5001,5001,1,0.5278619905894398
laptop,5001,10000,0,0.00006234841226537804
laptop,5001,10000,1,0.010687278640697264
laptop,5001,10001,0,0.00006386172324269309
laptop,5001,10001,1,0.01094667860770448
laptop,10000,50,0,0.0013478351255074145
laptop,10000,50,1,0.00111233140189801
laptop,10000,51,0,0.0013109081357674823
laptop,10000,51,1,0.0010818565689692966
