domain,utterance,state,affect,probability
electric kettle,50,50,0,0.48066186393439764
electric kettle,50,50,1,0.18076403751794554
electric kettle,50,51,0,0.24572739527691012
electric kettle,50,51,1,0.07502026112222497
electric kettle,50,500,0,0.004047818424455501
electric kettle,50,500,1,0.0019239971134102137
electric kettle,50,501,0,0.004085790454703678
electric kettle,50,501,1,0.001942045866819316
electric kettle,50,1000,0,0.0008687598893539532
electric kettle,50,1000,1,0.0009079338804894255
electric kettle,50,1001,0,0.0008220104782676412
electric kettle,50,1001,1,0.0008590764519429086
electric kettle,50,5000,0,0.00019465046890295454
electric kettle,50,5000,1,0.00048617143122342446
electric kettle,50,5001,0,0.0001929125182877496
electric kettle,50,5001,1,0.00048183061487321537
electric kettle,50,10000,0,0.00004121425744628869
electric kettle,50,10000,1,0.00037314977275435055
electric kettle,50,10001,0,0.00005958687823559802
electric kettle,50,10001,1,0.0005394936473556868
electric kettle,51,50,0,0.16640645992211195
electric kettle,51,50,1,0.05080368048387054
electric kettle,51,51,0,0.5434876459229893
electric kettle,51,51,1,0.22820625637214587
electric kettle,51,500,0,0.0025195392337506958
electric kettle,51,500,1,0.0011975799565446682
electric kettle,51,501,0,0.002543174686224906
electric kettle,51,501,1,0.0012088142900957442
electric kettle,51,1000,0,0.0005407541535736349
electric kettle,51,1000,1,0.0005651377590763207
electric kettle,51,1001,0,0.0005116552753544254
electric kettle,51,1001,1,0.0005347267585879084
electric kettle,51,5000,0,0.00012115896560625372
electric kettle,51,5000,1,0.0003026143633063087
electric kettle,51,5001,0,0.00012007718912762648
electric kettle,51,5001,1,0.00029991244934821673
electric kettle,51,10000,0,0.000025653556493160767
electric kettle,51,10000,1,0.0002322647396532396
electric kettle,51,10001,0,0.000037089479267220335
electric kettle,51,10001,1,0.00033580444287215316
electric kettle,500,50,0,0.15024113632135044
electric kettle,500,50,1,0.07141217374063234
electric kettle,500,51,0,0.13809322042378586
electric kettle,500,51,1,0.06563806218966564
electric kettle,500,500,0,0.0740884109808166
electric kettle,500,500,1,0.28260711110691406
electric kettle,500,501,0,0.03566274071123378
electric kettle,500,501,1,0.13629868405346612
electric kettle,500,1000,0,0.0012452663113513035
electric kettle,500,1000,1,0.010661992623521247
electric kettle,500,1001,0,0.0011782564650005597
electric kettle,500,1001,1,0.010088253110147898
electric kettle,500,5000,0,0.00027900881979465785
electric kettle,500,5000,1,0.005709178085387342
electric kettle,500,5001,0,0.00027651766961791986
electric kettle,500,5001,1,0.005658203281053527
electric kettle,500,10000,0,0.00005907584704835845
electric kettle,500,10000,1,0.004381949181619786
electric kettle,500,10001,0,0.00008541086320244597
electric kettle,500,10001,1,0.006335348214390043
electric kettle,501,50,0,0.10613814531548216
electric kettle,501,50,1,0.050449270149060865
electric kettle,501,51,0,0.09755622631256565
electric kettle,501,51,1,0.046370137723215285
electric kettle,501,500,0,0.024959867992344942
electric kettle,501,500,1,0.09539359829496262
electric kettle,501,501,0,0.11363204049479812
electric kettle,501,501,1,0.4330332692113343
electric kettle,501,1000,0,0.0008797208271107618
electric kettle,501,1000,1,0.007532185592682313
electric kettle,501,1001,0,0.0008323815897774465
electric kettle,501,1001,1,0.007126866188591778
electric kettle,501,5000,0,0.00019710632776582816
electric kettle,501,5000,1,0.004033260051779141
electric kettle,501,5001,0,0.0001953464498393476
electric kettle,501,5001,1,0.003997248801316828
electric kettle,501,10000,0,0.00004173424797082571
electric kettle,501,10000,1,0.0030956365905608837
electric kettle,501,10001,0,0.00006033867176504913
electric kettle,501,10001,1,0.00447561916707597
electric kettle,1000,50,0,0.12778061105345645
electric kettle,1000,50,1,0.13354247527628088
electric kettle,1000,51,0,0.11744876616447308
electric kettle,1000,51,1,0.12274474838117139
electric kettle,1000,500,0,0.004934686891030662
electric kettle,1000,500,1,0.04225087818722258
electric kettle,1000,501,0,0.004980978512897744
electric kettle,1000,501,1,0.042647227888791286
electric kettle,1000,1000,0,0.02535805582835535
electric kettle,1000,1000,1,0.22337074251118677
electric kettle,1000,1001,0,0.010944332008577225
electric kettle,1000,1001,1,0.10210225539362294
electric kettle,1000,5000,0,0.0002372979754786285
electric kettle,1000,5000,1,0.010676299759265285
electric kettle,1000,5001,0,0.00023517924355471225
electric kettle,1000,5001,1,0.010580975654271846
electric kettle,1000,10000,0,0.000050244214195729826
