domain,utterance,state,affect,probability
electric kettle,5000,500,0,0.00301388453063612
electric kettle,5000,500,1,0.061671181315556024
electric kettle,5000,501,0,0.003042157368634584
electric kettle,5000,501,1,0.06224971022095526
electric kettle,5000,1000,0,0.0006468526294415585
electric kettle,5000,1000,1,0.029102619009107336
electric kettle,5000,1001,0,0.0006120444161980661
electric kettle,5000,1001,1,0.027536558793370598
electric kettle,5000,5000,0,0.00778508623617475
electric kettle,5000,5000,1,0.1684508912089251
electric kettle,5000,5001,0,0.0033380489295411885
electric kettle,5000,5001,1,0.07935952728634744
electric kettle,5000,10000,0,0.000030686903396792836
electric kettle,5000,10000,1,0.011960822151444457
electric kettle,5000,10001,0,0.000044366607320664274
electric kettle,5000,10001,1,0.017292754917750997
electric kettle,5001,50,0,0.0675394623086435
electric kettle,5001,50,1,0.16869087056257936
electric kettle,5001,51,0,0.062078483192130135
electric kettle,5001,51,1,0.1550511806716693
electric kettle,5001,500,0,0.0026082681600442014
electric kettle,5001,500,1,0.053371314322956796
electric kettle,5001,501,0,0.0026327359664236037
electric kettle,5001,501,1,0.05387198331285322
electric kettle,5001,1000,0,0.0005597975305501133
electric kettle,5001,1000,1,0.025185913316768792
electric kettle,5001,1001,0,0.000529673896619165
electric kettle,5001,1001,1,0.023830617532906773
electric kettle,5001,5000,0,0.002914830952588578
electric kettle,5001,5000,1,0.06929784775468766
electric kettle,5001,5001,0,0.013117454969985195
electric kettle,5001,5001,1,0.2733380578824258
electric kettle,5001,10000,0,0.000026556980616411855
electric kettle,5001,10000,1,0.010351103789294602
electric kettle,5001,10001,0,0.000038395634626137565
electric kettle,5001,10001,1,0.01496545126163073
electric kettle,10000,50,0,0.025530959707928638
electric kettle,10000,50,1,0.2311547605978265
electric kettle,10000,51,0,0.02346662527256699
electric kettle,10000,51,1,0.21246448268979776
electric kettle,10000,500,0,0.0009859656417939766
electric kettle,10000,500,1,0.07313397188579775
electric kettle,10000,501,0,0.0009952148504411983
electric kettle,10000,501,1,0.07382003165958574
electric kettle,10000,1000,0,0.00021161211103162456
electric kettle,10000,1000,1,0.034511907750310454
electric kettle,10000,1001,0,0.00020022491223171634
electric kettle,10000,1001,1,0.032654764732356505
electric kettle,10000,5000,0,0.00004741286648084175
electric kettle,10000,5000,1,0.01848009414096828
electric kettle,10000,5001,0,0.00004698953731583424
electric kettle,10000,5001,1,0.018315093300423926
electric kettle,10000,10000,0,0.0018622796752382719
electric kettle,10000,10000,1,0.14852590431507742
electric kettle,10000,10001,0,0.0011442694051791386
electric kettle,10000,10001,1,0.1024474349476474
electric kettle,10001,50,0,0.02078014765021277
electric kettle,10001,50,1,0.18814138247144355
electric kettle,10001,51,0,0.019099945462086175
electric kettle,10001,51,1,0.17292899958433516
electric kettle,10001,500,0,0.0008024967274595983
electric kettle,10001,500,1,0.05952517067195992
electric kettle,10001,501,0,0.0008100248393494634
electric kettle,10001,501,1,0.06008356814543049
electric kettle,10001,1000,0,0.00017223523761407161
electric kettle,10001,1000,1,0.02808991698495602
electric kettle,10001,1001,0,0.00016296697370658778
electric kettle,10001,1001,1,0.026578351945406795
electric kettle,10001,5000,0,0.000038590259718507464
electric kettle,10001,5000,1,0.015041310206599677
electric kettle,10001,5001,0,0.00003824570382816365
electric kettle,10001,5001,1,0.014907012794040754
electric kettle,10001,10000,0,0.0006441790867019145
electric kettle,10001,10000,1,0.05767391383604957
electric kettle,10001,10001,0,0.004333603936243124
electric kettle,10001,10001,1,0.33014793748285776
laptop,50,50,0,0.20683439982717136
laptop,50,50,1,0.007129755239566748
laptop,50,51,0,0.10372351964576802
laptop,50,51,1,0.0029482047998429196
laptop,50,500,0,0.19850994586372542
laptop,50,500,1,0.0035560119037058033
laptop,50,501,0,0.19226312938549614
laptop,50,501,1,0.0034441094312115685
laptop,50,1000,0,0.12738567429562894
laptop,50,1000,1,0.006344354618477792
laptop,50,1001,0,0.11416696542269952
laptop,50,1001,1,0.005686006047086191
laptop,50,5000,0,0.010053405268875736
laptop,50,5000,1,0.0025189903326325743
laptop,50,5001,0,0.008996035432583297
laptop,50,5001,1,0.002254054788465876
laptop,50,10000,0,0.0011327767115166586
laptop,50,10000,1,0.0009348495848736589
laptop,50,10001,0,0.0011602712918932776
laptop,50,10001,1,0.0009575401087783601
laptop,51,50,0,0.09118299894337671
laptop,51,50,1,0.0025917569714855237
laptop,51,51,0,0.31363784204189654
laptop,51,51,1,0.011723053660647404
laptop,51,500,0,0.16972834872237383
laptop,51,500,1,0.0030404321850323063
laptop,51,501,0,0.16438724683950195
laptop,51,501,1,0.0029447542491396793
laptop,51,1000,0,0.10891625633672662
laptop,51,1000,1,0.005424498145007919
laptop,51,1001,0,0.09761410409703834
laptop,51,1001,1,0.0048616023393602825
laptop,51,5000,0,0.008595780266317115
laptop,51,5000,1,0.0021537664913719437
laptop,51,5001,0,0.007691716565519156
laptop,51,5001,1,0.0019272434714112886
laptop,51,10000,0,0.0009685374699002244
laptop,51,10000,1,0.0007993074384964465
laptop,51,10001,0,0.000992045660917221
laptop,51,10001,1,0.0008187081044793707
laptop,500,50,0,0.0071506470727463346
laptop,500,50,1,0.0001280932600089513
laptop,500,51,0,0.006954738933766979
laptop,500,51,1,0.00012458385562514454
laptop,500,500,0,0.3801402032770661
laptop,500,500,1,0.21646613828312816
laptop,500,501,0,0.17902634426827355
laptop,500,501,1,0.09475261759118647
laptop,500,1000,0,0.0271628935617984
laptop,500,1000,1,0.020088838269996228
laptop,500,1001,0,0.024344221963715072
laptop,500,1001,1,0.01800423569474766
laptop,500,5000,0,0.002143722822539278
laptop,500,5000,1,0.007976160293524258
laptop,500,5001,0,0.0019182561483823924
laptop,500,5001,1,0.0071372653043889865
laptop,500,10000,0,0.00024154594631106658
laptop,500,10000,1,0.0029601186009690543
laptop,500,10001,0,0.0002474087119982286
laptop,500,10001,1,0.0030319661398275264
laptop,501,50,0,0.004744919623085033
laptop,501,50,1,0.00008499821300339659
laptop,501,51,0,0.004614921825192289
laptop,501,51,1,0.00008266949483891993
laptop,501,500,0,0.12265541437603643
laptop,501,500,1,0.06491738197170285
laptop,501,501,0,0.45768414486067505
laptop,501,501,1,0.26873527362367794
laptop,501,1000,0,0.018024347359049078
laptop,501,1000,1,0.01333025136642317
laptop,501,1001,0,0.016153975343661475
laptop,501,1001,1,0.011946981913322947
laptop,501,5000,0,0.0014224995841131888
laptop,501,5000,1,0.005292701360952419
laptop,501,5001,0,0.001272887774765725
laptop,501,5001,1,0.00473603994903255
laptop,501,10000,0,0.000160281452694859
laptop,501,10000,1,0.0019642313057135177
laptop,501,10001,0,0.00016417177921657902
laptop,501,10001,1,0.0020119068228424885
laptop,1000,50,0,0.004147471148176251
laptop,1000,50,1,0.00020656190642654002
laptop,1000,51,0,0.004033841801650871
laptop,1000,51,1,0.000200902676113484
laptop,1000,500,0,0.02455137062902408
laptop,1000,500,1,0.018157436458347095
laptop,1000,501,0,0.02377877504978904
laptop,1000,501,1,0.017586048597769743
laptop,1000,1000,0,0.22607672374723198
laptop,1000,1000,1,0.3876066044395757
laptop,1000,1001,0,0.09364212543638037
laptop,1000,1001,1,0.1633380013023608
laptop,1000,5000,0,0.001243387971146763
laptop,1000,5000,1,0.01286227609539257
laptop,1000,5001,0,0.0011126142780211433
laptop,1000,5001,1,0.011509482449299528
laptop,1000,10000,0,0.00014009988649870788
laptop,1000,10000,1,0.004773457568509855
laptop,1000,10001,0,0.00014350036918071523
laptop,1000,10001,1,0.0048893181891047546
laptop,1001,50,0,0.0028325662024281284
laptop,1001,50,1,0.00014107398314518042
laptop,1001,51,0,0.002754961648936945
laptop,1001,51,1,0.00013720894251106577
laptop,1001,500,0,0.01676765917892887
laptop,1001,500,1,0.012400843549512408
laptop,1001,501,0,0.016240005568403125
laptop,1001,501,1,0.012010607214038233
laptop,1001,1000,0,0.07135889077411732
laptop,1001,1000,1,0.12446982103280553
laptop,1001,1001,0,0.26490335336800325
laptop,1001,1001,1,0.4509359577653162
laptop,1001,5000,0,0.0008491870389802973
laptop,1001,5000,1,0.008784448945504748
laptop,1001,5001,0,0.0007598735440625032
laptop,1001,5001,1,0.007860541961252996
laptop,1001,10000,0,0.00009568293287218119
laptop,1001,10000,1,0.003260091292794489
laptop,1001,10001,0,0.00009800533415548665
laptop,1001,10001,1,0.003339219722231251
laptop,5000,50,0,0.002732077295579623
laptop,5000,50,1,0.00068455176246363
laptop,5000,51,0,0.0026572258628240145
laptop,5000,51,1,0.0006657969196564068
laptop,5000,500,0,0.016172805035765524
laptop,5000,500,1,0.060174237081817815
laptop,5000,501,0,0.015663870611563116
laptop,5000,501,1,0.058280642208613724
laptop,5000,1000,0,0.010378239063885622
laptop,5000,1000,1,0.10735810488867033
laptop,5000,1001,0,0.009301297550974266
laptop,5000,1001,1,0.09621764077039506
laptop,5000,5000,0,0.039436589349895815
laptop,5000,5000,1,0.37074656421750835
laptop,5000,5001,0,0.015311194169497801
laptop,5000,5001,1,0.16200964524554784
laptop,5000,10000,0,0.0000922884585188043
laptop,5000,10000,1,0.015819367898460352
laptop,5000,10001,0,0.0000945284696479016
laptop,5000,10001,1,0.016203333138714242
laptop,5001,50,0,0.0021012315133832355
laptop,5001,50,1,0.0005264864717253364
laptop,5001,51,0,0.0020436635267152004
laptop,5001,51,1,0.0005120621848287506
laptop,5001,500,0,0.012438450279549637
laptop,5001,500,1,0.04627980454824018
laptop,5001,501,0,0.01204703051550787
laptop,5001,501,1,0.04482344706245641
laptop,5001,1000,0,0.007981868964594907
laptop,5001,1000,1,0.08256875952015046
laptop,5001,1001,0,0.0071535968477476905
laptop,5001,1001,1,0.07400066581470903
laptop,5001,5000,0,0.013159882756728088
laptop,5001,5000,1,0.13924635226283258
laptop,5001,5001,0,0.05326057656838553
laptop,5001,5001,1,0.4770838885871949
laptop,5001,10000,0,0.00007097874488215468
laptop,5001,10000,1,0.01216662295895839
laptop,5001,10001,0,0.00007270152995210995
laptop,5001,10001,1,0.012461929341457382
laptop,10000,50,0,0.0013349608886916856
laptop,10000,50,1,0.001101706646974654
laptop,10000,51,0,0.0012983866177686248
laptop,10000,51,1,0.001071522903221923
laptop,10000,500,0,0.007902434611976256
laptop,10000,500,1,0.09684345378219603
laptop,10000,501,0,0.0076537565997112705
laptop,10000,501,1,0.09379593250932966
laptop,10000,1000,0,0.005071065619627792
laptop,10000,1000,1,0.17278041522642956
laptop,10000,1001,0,0.0045448452226166235
laptop,10000,1001,1,0.1548511306310392
laptop,10000,5000,0,0.0004002135883888005
laptop,10000,5000,1,0.06860149247584847
laptop,10000,5001,0,0.00035812100730617203
laptop,10000,5001,1,0.06138631046252886
laptop,10000,10000,0,0.006534432976624465
laptop,10000,10000,1,0.20706686820580877
laptop,10000,10001,0,0.0028503274365542525
laptop,10000,10001,1,0.10455262258735687
laptop,10001,50,0,0.0011199427949796217
laptop,10001,50,1,0.0009242581051716352
laptop,10001,51,0,0.0010892594307336041
laptop,10001,51,1,0.0008989359653039185
laptop,10001,500,0,0.006629613482649675
laptop,10001,500,1,0.08124517296578367
laptop,10001,501,0,0.006420989282146721
laptop,10001,501,1,0.07868850668364365
laptop,10001,1000,0,0.004254284490039974
laptop,10001,1000,1,0.14495119878460916
