utterance,meaning,valence,probability
3351,10001,1,3.8413e-14
4051,10001,1,8.7827e-15
10001,10001,1,7.1918e-11
540,540,2,0.11099
1250,540,2,0.0048473
1950,540,2,0.01375
2650,540,2,0.082733
3350,540,2,0.17099
4050,540,2,0.17922
10000,540,2,0.20424
541,540,2,0.0044634
1251,540,2,0.0016812
1951,540,2,0.005563
2651,540,2,0.036085
3351,540,2,0.13304
4051,540,2,0.13557
10001,540,2,0.20423
540,1250,2,0.00038239
1250,1250,2,0.19259
1950,1250,2,0.010104
2650,1250,2,0.060794
3350,1250,2,0.12565
4050,1250,2,0.1317
10000,1250,2,0.15008
541,1250,2,0.00011945
1251,1250,2,0.0094063
1951,1250,2,0.0040878
2651,1250,2,0.026516
3351,1250,2,0.09776
4051,1250,2,0.099617
10001,1250,2,0.15007
540,1950,2,0.00020575
1250,1950,2,0.0019165
1950,1950,2,0.19007
2650,1950,2,0.03271
3350,1950,2,0.067605
4050,1950,2,0.070859
10000,1950,2,0.080749
541,1950,2,6.4272e-05
1251,1950,2,0.00066467
1951,1950,2,0.01151
2651,1950,2,0.014267
3351,1950,2,0.052599
4051,1950,2,0.053598
10001,1950,2,0.080744
540,2650,2,0.00012303
1250,2650,2,0.001146
1950,2650,2,0.0032508
2650,2650,2,0.27906
3350,2650,2,0.040426
4050,2650,2,0.042372
10000,2650,2,0.048286
541,2650,2,3.8433e-05
1251,2650,2,0.00039746
1951,2650,2,0.0013152
2651,2650,2,0.022638
3351,2650,2,0.031453
4051,2650,2,0.032051
10001,2650,2,0.048283
540,3350,2,1.8704e-05
1250,3350,2,0.00017422
1950,3350,2,0.00049421
2650,3350,2,0.0029736
3350,3350,2,0.070571
4050,3350,2,0.0064417
10000,3350,2,0.0073408
541,3350,2,5.8429e-06
1251,3350,2,6.0425e-05
1951,3350,2,0.00019995
2651,3350,2,0.001297
3351,3350,2,0.011029
4051,3350,2,0.0048726
10001,3350,2,0.0073404
540,4050,2,2.3692e-05
1250,4050,2,0.00022068
1950,4050,2,0.00062599
2650,4050,2,0.0037666
3350,4050,2,0.0077848
4050,4050,2,0.084927
10000,4050,2,0.0092983
541,4050,2,7.401e-06
1251,4050,2,7.6538e-05
1951,4050,2,0.00025327
2651,4050,2,0.0016428
3351,4050,2,0.0060569
4051,4050,2,0.013409
10001,4050,2,0.0092978
540,10000,2,4.1689e-09
1250,10000,2,3.8832e-08
1950,10000,2,1.1015e-07
2650,10000,2,6.6279e-07
3350,10000,2,1.3698e-06
4050,10000,2,1.4358e-06
10000,10000,2,1.5529e-05
541,10000,2,1.3023e-09
1251,10000,2,1.3468e-08
1951,10000,2,4.4566e-08
2651,10000,2,2.8908e-07
3351,10000,2,1.0658e-06
4051,10000,2,1.086e-06
10001,10000,2,3.3675e-06
540,541,2,0.035455
1250,541,2,0.0048473
1950,541,2,0.01375
2650,541,2,0.082733
3350,541,2,0.17099
4050,541,2,0.17922
10000,541,2,0.20424
541,541,2,0.17881
1251,541,2,0.0016812
1951,541,2,0.005563
2651,541,2,0.036085
3351,541,2,0.13304
4051,541,2,0.13557
10001,541,2,0.20423
540,1251,2,0.00038239
1250,1251,2,0.063341
1950,1251,2,0.010104
2650,1251,2,0.060794
3350,1251,2,0.12565
4050,1251,2,0.1317
10000,1251,2,0.15008
541,1251,2,0.00011945
1251,1251,2,0.34063
1951,1251,2,0.0040878
2651,1251,2,0.026516
3351,1251,2,0.09776
4051,1251,2,0.099617
10001,1251,2,0.15007
540,1951,2,0.00020575
1250,1951,2,0.0019165
1950,1951,2,0.063828
2650,1951,2,0.03271
3350,1951,2,0.067605
4050,1951,2,0.070859
10000,1951,2,0.080749
541,1951,2,6.4272e-05
1251,1951,2,0.00066467
1951,1951,2,0.38892
2651,1951,2,0.014267
3351,1951,2,0.052599
4051,1951,2,0.053598
10001,1951,2,0.080744
540,2651,2,0.00012303
1250,2651,2,0.001146
1950,2651,2,0.0032508
2650,2651,2,0.10163
3350,2651,2,0.040426
4050,2651,2,0.042372
10000,2651,2,0.048286
541,2651,2,3.8433e-05
1251,2651,2,0.00039746
1951,2651,2,0.0013152
2651,2651,2,0.59448
3351,2651,2,0.031453
4051,2651,2,0.032051
10001,2651,2,0.048283
540,3351,2,1.8704e-05
1250,3351,2,0.00017422
1950,3351,2,0.00049421
2650,3351,2,0.0029736
3350,3351,2,0.02652
4050,3351,2,0.0064417
10000,3351,2,0.0073408
541,3351,2,5.8429e-06
1251,3351,2,6.0425e-05
1951,3351,2,0.00019995
2651,3351,2,0.001297
3351,3351,2,0.26428
4051,3351,2,0.0048726
10001,3351,2,0.0073404
540,4051,2,2.3692e-05
1250,4051,2,0.00022068
1950,4051,2,0.00062599
2650,4051,2,0.0037666
3350,4051,2,0.0077848
4050,4051,2,0.032437
10000,4051,2,0.0092983
541,4051,2,7.401e-06
1251,4051,2,7.6538e-05
1951,4051,2,0.00025327
2651,4051,2,0.0016428
3351,4051,2,0.0060569
4051,4051,2,0.30678
10001,4051,2,0.0092978
540,10001,2,4.1689e-09
1250,10001,2,3.8832e-08
1950,10001,2,1.1015e-07
2650,10001,2,6.6279e-07
3350,10001,2,1.3698e-06
4050,10001,2,1.4358e-06
10000,10001,2,6.0298e-06
541,10001,2,1.3023e-09
1251,10001,2,1.3468e-08
1951,10001,2,4.4566e-08
2651,10001,2,2.8908e-07
3351,10001,2,1.0658e-06
4051,10001,2,1.086e-06
10001,10001,2,7.3554e-05
