meaning,prob
20,0.2076
50,0.4799
100,0.6392
200,0.6392
500,0.6392
1000,0.6392
2000,0.6392
10000,0.6392
21,0.2183
51,0.4869
101,0.6392
201,0.6392
501,0.6392
1001,0.6392
2001,0.6392
10001,0.6392
