"","utteredPriceLabel","numberType","domain","isLiteral","isFigurative","logPriorProb"
"91","101","sharp","watch",0.642857142857143,0.357142857142857,-2.133
"84","200","round","watch",0.647058823529412,0.352941176470588,-4.3926
"92","201","sharp","watch",0.666666666666667,0.333333333333333,-4.3926
"85","500","round","watch",0.681818181818182,0.318181818181818,-4.7436
"93","501","sharp","watch",0.642857142857143,0.357142857142857,-4.7436
"86","1000","round","watch",0.5625,0.4375,-5.4274
"94","1001","sharp","watch",0.565217391304348,0.434782608695652,-5.4274
"87","2000","round","watch",0.4375,0.5625,-5.4274
"95","2001","sharp","watch",0.285714285714286,0.714285714285714,-5.4274
"88","10000","round","watch",0.466666666666667,0.533333333333333,-14.5087
"96","10001","sharp","watch",0.35,0.65,-14.5087
